Author,Date,Text
Ashqui_Ventures,2018-09-05 21:57:16,"b'RT @seungminkim: Pressed by Blumenthal whether he will recuse from cases involving Trump, Kavanaugh indicates he will not:\n\n""To be consiste\xe2\x80\xa6'"
Flintster,2018-09-05 21:57:16,"b'RT @krassenstein: Maxine Waters called Trump""Putin\'s apprentice""\n\nDo you all understand how much this will get under his skin? \n\nRETWEET to\xe2\x80\xa6'"
LinesGettnClear,2018-09-05 21:57:16,"b'RT @LeoGarcia123456: President Trump has done more in less than 2 years than douchebama did in 8 years, can you just imagine how much more\xe2\x80\xa6'"
DssdentAggrssor,2018-09-05 21:57:16,b'RT @shortreddog: Op-Ed from WH Official: trump shows little affinity for ideals long espoused by conservatives. There is a two track admini\xe2\x80\xa6'
Ceu37viana,2018-09-05 21:57:15,b'RT @washingtonpost: Account of friction between Trump and Mattis threatens to undermine their relationship https://t.co/3LzSTFkdOv'
TheSpindleshay,2018-09-05 21:57:16,b'RT @NBCNews: NEW: Trump admin. dismissed an intelligence assessment last year that showed refugees did not present a significant threat to\xe2\x80\xa6'
torrymeade,2018-09-05 21:57:16,b'@realDonaldTumpr @JeffreyGuterman @realDonaldTrump @nytimes Remove Trump immediately'
ColleenKenney11,2018-09-05 21:57:16,b'@essenviews @KarenMi52596689 Trump if you have these so called \npictures of Mueller and Comet locked in passionate\xe2\x80\xa6 https://t.co/q8nZ9QX4nQ'
kathygarriott1,2018-09-05 21:57:16,b'This sounds so much like leaks from the early days of his administration. I think this is trolling.'
jaq_jackie,2018-09-05 21:57:16,"b'RT @MarkusJRussell: #TheResistance is trying to save the country, but this resistance OpEd is from within the White House\n\nTick Tock Donald\xe2\x80\xa6'"
arenal2,2018-09-05 21:57:16,b'RT @DaddyDaddymac: Trump puts a poll on his website hoping resisters won\xe2\x80\x99t find it so he can spout his skewed results. \n\ntake the poll and\xe2\x80\xa6'
thebitterfig,2018-09-05 21:57:16,b'RT @HeerJeet: 2. If you have someone who is mentally unfit to be president (as Trump seems to be) there is remedy: the 25th amendment. Inst\xe2\x80\xa6'
MarkWNewman1,2018-09-05 21:57:16,"b'RT @realDonaldTrump: Today, it was my honor to welcome the Amir of Kuwait to the @WhiteHouse! https://t.co/b5iqsajpOj https://t.co/8wtucJrt\xe2\x80\xa6'"
paperrosie53,2018-09-05 21:57:16,"b'RT @NARAL: .@SenBlumenthal notes that Jane Doe was entirely eligible to obtain an abortion per Texas state law, but the Trump admin interve\xe2\x80\xa6'"
SenninSage,2018-09-05 21:57:16,b'RT @krassenstein: WOW!!  This is incredible.  \n\nPeople within the White House are actively working against the President.  Senior officials\xe2\x80\xa6'
TheEliasRework,2018-09-05 21:57:16,"b""RT @RabbiJill: I interrupt high holy day prep to ask WHY isn't 25th amendment being invoked? \xe2\x81\xa6@GOP\xe2\x81\xa9 //I Am Part of the Resistance Inside th\xe2\x80\xa6"""
uberbaldy,2018-09-05 21:57:16,"b'RT @leahmcelrath: This is a finely crafted piece of propaganda - in content, placement, and timing.\n\nBe VERY wary of taking any of this at\xe2\x80\xa6'"
woody19641,2018-09-05 21:57:16,b'RT @shannoncoulter: Each day a person in any position of influence does not fully and publicly oppose The Trump administration is another d\xe2\x80\xa6'
ustankkk,2018-09-05 21:57:16,"b'RT @PalmerReport: @realDonaldTrump Hey Trump, is it a good sign when \xe2\x80\x9c25th Amendment\xe2\x80\x9d is the top trending topic on Twitter?'"
